Chrom,GenomeVersion,Gene,start,end,Gene_length,,strand,,Gene_ID,,,,,,,,,
Pt,ena,gene,72000,72698,698,.,+,.,AGP50784,b6;gene_id=AGP50784;logic_name=ena,,,,,,,,
Pt,ena,gene,73591,74115,524,.,+,.,AGP50785,b6/f,complex,subunit,IV;gene_id=AGP50785;logic_name=ena,,,,,
Pt,ena,gene,74333,75352,1019,.,-,.,AGP50786,polymerase,alpha,subunit;gene_id=AGP50786;logic_name=ena,,,,,,
Pt,ena,gene,75424,75855,431,.,-,.,AGP50787,protein,S11;gene_id=AGP50787;logic_name=ena,,,,,,,
Pt,ena,gene,76031,76144,113,.,-,.,AGP50788,protein,L36;gene_id=AGP50788;logic_name=ena,,,,,,,
Pt,ena,gene,76256,76597,341,.,-,.,AGP50789,initiation,factor,1;gene_id=AGP50789;logic_name=ena,,,,,,
Pt,ena,gene,76677,77087,410,.,-,.,AGP50790,protein,S8;gene_id=AGP50790;logic_name=ena,,,,,,,
Pt,ena,gene,77232,77603,371,.,-,.,AGP50791,protein,L14;gene_id=AGP50791;logic_name=ena,,,,,,,
Pt,ena,gene,77712,78146,434,.,-,.,AGP50792,protein,L16;gene_id=AGP50792;logic_name=ena,,,,,,,
Pt,ena,gene,79330,80049,719,.,-,.,AGP50793,protein,S3;gene_id=AGP50793;logic_name=ena,,,,,,,
Pt,ena,gene,80108,80557,449,.,-,.,AGP50794,protein,L22;gene_id=AGP50794;logic_name=ena,,,,,,,
Pt,ena,gene,80636,80851,215,.,-,.,AGP50795,protein,S19;gene_id=AGP50795;logic_name=ena,,,,,,,
Pt,ena,gene,82609,82962,353,.,-,.,AGP50796,protein,L23;gene_id=AGP50796;logic_name=ena,,,,,,,
Pt,ena,gene,84548,84946,398,.,+,.,AGP50797,chloroplast,RF15;gene_id=AGP50797;logic_name=ena,,,,,,,
Pt,ena,gene,86242,88486,2244,.,-,.,AGP50798,oxidoreductase,subunit,2;gene_id=AGP50798;logic_name=ena,,,,,,
Pt,ena,gene,88786,89256,470,.,-,.,AGP50799,protein,S7;gene_id=AGP50799;logic_name=ena,,,,,,,
Pt,ena,gene,101534,101806,272,.,+,.,AGP50800,protein,S15;gene_id=AGP50800;logic_name=ena,,,,,,,
Pt,ena,gene,101953,114863,12910,.,+,.,AGP50801,oxidoreductase,subunit,7;gene_id=AGP50801;logic_name=ena,,,,,,
Pt,ena,gene,102228,104447,2219,.,-,.,AGP50802,oxidoreductase,subunit,5;gene_id=AGP50802;logic_name=ena,,,,,,
Pt,ena,gene,105295,105474,179,.,+,.,AGP50803,protein,L32;gene_id=AGP50803;logic_name=ena,,,,,,,
Pt,ena,gene,106350,107318,968,.,+,.,AGP50804,c,heme,attachment,protein;gene_id=AGP50804;logic_name=ena,,,,,
Pt,ena,gene,107485,108987,1502,.,-,.,AGP50805,oxidoreductase,subunit,4;gene_id=AGP50805;logic_name=ena,,,,,,
Pt,ena,gene,109113,109358,245,.,-,.,AGP50806,I,subunit,VII;gene_id=AGP50806;logic_name=ena,,,,,,
Pt,ena,gene,109839,110144,305,.,-,.,AGP50807,oxidoreductase,subunit,4L;gene_id=AGP50807;logic_name=ena,,,,,,
Pt,ena,gene,110358,110888,530,.,-,.,AGP50808,oxidoreductase,subunit,6;gene_id=AGP50808;logic_name=ena,,,,,,
Pt,ena,gene,111136,111678,542,.,-,.,AGP50809,oxidoreductase,subunit,I;gene_id=AGP50809;logic_name=ena,,,,,,
Pt,ena,gene,111780,112271,491,.,-,.,AGP50810,oxidoreductase,subunit,1;gene_id=AGP50810;logic_name=ena,,,,,,
chr1H,ibsc,gene,41811,45310,3499,.,+,.,HORVU1Hr1G000010,,,,,,,,,
chr1H,ibsc,gene,47106,50750,3644,.,+,.,HORVU1Hr1G000020,,,,,,,,,
chr1H,ibsc,gene,50843,52927,2084,.,-,.,HORVU1Hr1G000030,,,,,,,,,
chr1H,ibsc,gene,71402,72542,1140,.,-,.,HORVU1Hr1G000040,,,,,,,,,
chr1H,ibsc,gene,247518,254136,6618,.,+,.,HORVU1Hr1G000060,,,,,,,,,
chr1H,ibsc,gene,261782,263932,2150,.,+,.,HORVU1Hr1G000080,,,,,,,,,
chr1H,ibsc,gene,267486,271869,4383,.,+,.,HORVU1Hr1G000090,,,,,,,,,
chr1H,ibsc,gene,272379,275627,3248,.,-,.,HORVU1Hr1G000110,,,,,,,,,
chr1H,ibsc,gene,277193,282298,5105,.,-,.,HORVU1Hr1G000120,,,,,,,,,
chr1H,ibsc,gene,289231,294986,5755,.,-,.,HORVU1Hr1G000140,,,,,,,,,
chr1H,ibsc,gene,416845,425630,8785,.,-,.,HORVU1Hr1G000150,,,,,,,,,
chr1H,ibsc,gene,475026,476135,1109,.,+,.,HORVU1Hr1G000160,,,,,,,,,
chr1H,ibsc,gene,478663,479619,956,.,-,.,HORVU1Hr1G000170,,,,,,,,,
chr1H,ibsc,gene,514755,520291,5536,.,-,.,HORVU1Hr1G000190,,,,,,,,,
chr1H,ibsc,gene,602073,603965,1892,.,-,.,HORVU1Hr1G000200,,,,,,,,,
chr1H,ibsc,gene,680415,685346,4931,.,-,.,HORVU1Hr1G000210,,,,,,,,,
chr1H,ibsc,gene,691299,694791,3492,.,+,.,HORVU1Hr1G000230,,,,,,,,,
chr1H,ibsc,gene,695355,695828,473,.,+,.,HORVU1Hr1G000240,,,,,,,,,
chr1H,ibsc,gene,701253,708742,7489,.,-,.,HORVU1Hr1G000250,,,,,,,,,
chr1H,ibsc,gene,781290,786860,5570,.,+,.,HORVU1Hr1G000260,,,,,,,,,
chr1H,ibsc,gene,944056,947991,3935,.,+,.,HORVU1Hr1G000270,,,,,,,,,
chr1H,ibsc,gene,968286,979886,11600,.,+,.,HORVU1Hr1G000290,,,,,,,,,
chr1H,ibsc,gene,1025176,1025980,804,.,+,.,HORVU1Hr1G000310,,,,,,,,,
chr1H,ibsc,gene,1033703,1041317,7614,.,-,.,HORVU1Hr1G000320,,,,,,,,,
chr1H,ibsc,gene,1074386,1074674,288,.,-,.,HORVU1Hr1G000330,,,,,,,,,
chr1H,ibsc,gene,1138808,1141385,2577,.,+,.,HORVU1Hr1G000340,protein,[Source:UniProtKB/TrEMBL%3BAcc:F2CQF7];gene_id=HORVU1Hr1G000340;logic_name=ibsc,,,,,,,
chr1H,ibsc,gene,1155485,1333157,177672,.,+,.,HORVU1Hr1G000350,,,,,,,,,
chr1H,ibsc,gene,1171719,1176080,4361,.,-,.,HORVU1Hr1G000370,,,,,,,,,
chr1H,ibsc,gene,1232043,1232889,846,.,-,.,HORVU1Hr1G000400,,,,,,,,,
chr1H,ibsc,gene,1273993,1276221,2228,.,-,.,HORVU1Hr1G000430,,,,,,,,,
chr1H,ibsc,gene,1286405,1370201,83796,.,-,.,HORVU1Hr1G000440,,,,,,,,,
chr1H,ibsc,gene,1310894,1313145,2251,.,+,.,HORVU1Hr1G000450,,,,,,,,,
chr1H,ibsc,gene,1339692,1341956,2264,.,-,.,HORVU1Hr1G000470,,,,,,,,,
chr1H,ibsc,gene,1415876,1422042,6166,.,+,.,HORVU1Hr1G000520,,,,,,,,,
chr1H,ibsc,gene,1430856,1434975,4119,.,-,.,HORVU1Hr1G000530,,,,,,,,,
chr1H,ibsc,gene,1453498,1455088,1590,.,+,.,HORVU1Hr1G000540,,,,,,,,,
chr1H,ibsc,gene,1505982,1510426,4444,.,-,.,HORVU1Hr1G000550,,,,,,,,,
chr1H,ibsc,gene,1520124,1524338,4214,.,+,.,HORVU1Hr1G000560,,,,,,,,,
chr1H,ibsc,gene,1543598,1545652,2054,.,+,.,HORVU1Hr1G000590,,,,,,,,,
chr1H,ibsc,gene,1546020,1548957,2937,.,-,.,HORVU1Hr1G000600,,,,,,,,,
chr1H,ibsc,gene,1561302,1567729,6427,.,-,.,HORVU1Hr1G000620,,,,,,,,,
chr1H,ibsc,gene,1611906,1613025,1119,.,-,.,HORVU1Hr1G000640,,,,,,,,,
chr1H,ibsc,gene,1615565,1616291,726,.,+,.,HORVU1Hr1G000650,,,,,,,,,
chr1H,ibsc,gene,1627715,1635164,7449,.,+,.,HORVU1Hr1G000660,,,,,,,,,
chr1H,ibsc,gene,1746603,1747457,854,.,+,.,HORVU1Hr1G000680,,,,,,,,,
chr1H,ibsc,gene,1806855,1819921,13066,.,-,.,HORVU1Hr1G000690,,,,,,,,,
chr1H,ibsc,gene,1891346,1892583,1237,.,+,.,HORVU1Hr1G000700,,,,,,,,,
chr1H,ibsc,gene,1910919,1914393,3474,.,+,.,HORVU1Hr1G000710,,,,,,,,,
chr1H,ibsc,gene,1922330,1929669,7339,.,+,.,HORVU1Hr1G000720,,,,,,,,,
chr1H,ibsc,gene,1932835,1933566,731,.,-,.,HORVU1Hr1G000730,,,,,,,,,
chr1H,ibsc,gene,2199702,2206634,6932,.,-,.,HORVU1Hr1G000810,,,,,,,,,
chr1H,ibsc,gene,2237189,2244914,7725,.,+,.,HORVU1Hr1G000830,,,,,,,,,
chr1H,ibsc,gene,2256321,2260574,4253,.,+,.,HORVU1Hr1G000840,,,,,,,,,
chr1H,ibsc,gene,2288201,2288693,492,.,-,.,HORVU1Hr1G000850,,,,,,,,,
chr1H,ibsc,gene,2302018,2309472,7454,.,+,.,HORVU1Hr1G000860,,,,,,,,,
chr1H,ibsc,gene,2322693,2330153,7460,.,-,.,HORVU1Hr1G000900,,,,,,,,,
chr1H,ibsc,gene,2361733,2367013,5280,.,-,.,HORVU1Hr1G000910,,,,,,,,,
chr1H,ibsc,gene,2415651,2417084,1433,.,-,.,HORVU1Hr1G000920,,,,,,,,,
chr1H,ibsc,gene,2429752,2430871,1119,.,-,.,HORVU1Hr1G000930,,,,,,,,,
chr1H,ibsc,gene,2471671,2475363,3692,.,-,.,HORVU1Hr1G000940,,,,,,,,,
chr1H,ibsc,gene,2477071,2481228,4157,.,-,.,HORVU1Hr1G000960,,,,,,,,,
chr1H,ibsc,gene,2511292,2816446,305154,.,-,.,HORVU1Hr1G000990,,,,,,,,,
chr1H,ibsc,gene,2524728,2525648,920,.,+,.,HORVU1Hr1G001020,,,,,,,,,
chr1H,ibsc,gene,2532014,2532317,303,.,+,.,HORVU1Hr1G001030,,,,,,,,,
chr1H,ibsc,gene,2534715,2535433,718,.,+,.,HORVU1Hr1G001040,,,,,,,,,
chr1H,ibsc,gene,2551018,2551329,311,.,-,.,HORVU1Hr1G001050,,,,,,,,,
chr1H,ibsc,gene,2558952,2560347,1395,.,+,.,HORVU1Hr1G001060,,,,,,,,,
chr1H,ibsc,gene,2578526,2578814,288,.,-,.,HORVU1Hr1G001080,,,,,,,,,
chr1H,ibsc,gene,2585277,2589785,4508,.,+,.,HORVU1Hr1G001090,,,,,,,,,
chr1H,ibsc,gene,2649693,2763382,113689,.,+,.,HORVU1Hr1G001120,,,,,,,,,
chr1H,ibsc,gene,2659468,2660580,1112,.,+,.,HORVU1Hr1G001140,,,,,,,,,
chr1H,ibsc,gene,2664240,2667005,2765,.,-,.,HORVU1Hr1G001150,,,,,,,,,
chr1H,ibsc,gene,2669017,2672217,3200,.,+,.,HORVU1Hr1G001160,,,,,,,,,
chr1H,ibsc,gene,2739051,2740252,1201,.,+,.,HORVU1Hr1G001170,,,,,,,,,
chr1H,ibsc,gene,2768643,2769877,1234,.,+,.,HORVU1Hr1G001200,,,,,,,,,
chr1H,ibsc,gene,2777769,2781781,4012,.,+,.,HORVU1Hr1G001220,,,,,,,,,
chr1H,ibsc,gene,2906403,2906540,137,.,+,.,HORVU1Hr1G001260,,,,,,,,,
chr1H,ibsc,gene,2922060,2922587,527,.,-,.,HORVU1Hr1G001270,,,,,,,,,
chr1H,ibsc,gene,2942377,2942715,338,.,+,.,HORVU1Hr1G001300,,,,,,,,,
chr1H,ibsc,gene,3090838,3091923,1085,.,+,.,HORVU1Hr1G001350,,,,,,,,,
chr1H,ibsc,gene,3183699,3190819,7120,.,-,.,HORVU1Hr1G001390,,,,,,,,,
chr1H,ibsc,gene,3194745,3199797,5052,.,-,.,HORVU1Hr1G001400,,,,,,,,,
chr1H,ibsc,gene,3252714,3253756,1042,.,+,.,HORVU1Hr1G001420,,,,,,,,,
chr1H,ibsc,gene,3338098,3345775,7677,.,-,.,HORVU1Hr1G001440,,,,,,,,,
chr1H,ibsc,gene,3348410,3353326,4916,.,-,.,HORVU1Hr1G001450,,,,,,,,,
chr1H,ibsc,gene,3441401,3446973,5572,.,-,.,HORVU1Hr1G001460,,,,,,,,,
chr1H,ibsc,gene,3453090,3454077,987,.,-,.,HORVU1Hr1G001480,,,,,,,,,
chr1H,ibsc,gene,3491182,3495328,4146,.,-,.,HORVU1Hr1G001490,,,,,,,,,
chr1H,ibsc,gene,3519471,3520781,1310,.,+,.,HORVU1Hr1G001500,,,,,,,,,
chr1H,ibsc,gene,3641574,3765125,123551,.,+,.,HORVU1Hr1G001510,,,,,,,,,
chr1H,ibsc,gene,3643795,3644281,486,.,-,.,HORVU1Hr1G001520,,,,,,,,,
chr1H,ibsc,gene,3658338,3658723,385,.,+,.,HORVU1Hr1G001540,,,,,,,,,
chr1H,ibsc,gene,3666737,3667888,1151,.,+,.,HORVU1Hr1G001560,,,,,,,,,
chr1H,ibsc,gene,3673324,3677647,4323,.,+,.,HORVU1Hr1G001570,,,,,,,,,
chr1H,ibsc,gene,3705134,3706696,1562,.,+,.,HORVU1Hr1G001580,,,,,,,,,
chr1H,ibsc,gene,3721290,3723955,2665,.,+,.,HORVU1Hr1G001590,,,,,,,,,
chr1H,ibsc,gene,3729711,3731382,1671,.,+,.,HORVU1Hr1G001600,,,,,,,,,
chr1H,ibsc,gene,3739193,3741286,2093,.,+,.,HORVU1Hr1G001610,,,,,,,,,
chr1H,ibsc,gene,3746274,3749045,2771,.,+,.,HORVU1Hr1G001630,,,,,,,,,
chr1H,ibsc,gene,3766915,3773630,6715,.,-,.,HORVU1Hr1G001660,,,,,,,,,
chr1H,ibsc,gene,3768822,3773765,4943,.,+,.,HORVU1Hr1G001670,,,,,,,,,
chr1H,ibsc,gene,3779397,3781001,1604,.,+,.,HORVU1Hr1G001680,,,,,,,,,
chr1H,ibsc,gene,3787483,3789368,1885,.,+,.,HORVU1Hr1G001690,,,,,,,,,
chr1H,ibsc,gene,3794464,3795988,1524,.,+,.,HORVU1Hr1G001700,,,,,,,,,
chr1H,ibsc,gene,3810964,3816638,5674,.,+,.,HORVU1Hr1G001710,,,,,,,,,
chr1H,ibsc,gene,3845261,3849085,3824,.,-,.,HORVU1Hr1G001750,,,,,,,,,
chr1H,ibsc,gene,3870154,3874757,4603,.,+,.,HORVU1Hr1G001760,,,,,,,,,
chr1H,ibsc,gene,3879700,3888876,9176,.,+,.,HORVU1Hr1G001770,kinase,[Source:UniProtKB/TrEMBL%3BAcc:M0Z8K2];gene_id=HORVU1Hr1G001770;logic_name=ibsc,,,,,,,
chr1H,ibsc,gene,3895009,3897092,2083,.,-,.,HORVU1Hr1G001800,,,,,,,,,
chr1H,ibsc,gene,3912406,3939515,27109,.,+,.,HORVU1Hr1G001810,,,,,,,,,
chr1H,ibsc,gene,4131050,4132649,1599,.,-,.,HORVU1Hr1G001850,,,,,,,,,
chr1H,ibsc,gene,4132589,4146988,14399,.,+,.,HORVU1Hr1G001860,,,,,,,,,
chr1H,ibsc,gene,4151373,4159697,8324,.,-,.,HORVU1Hr1G001890,,,,,,,,,
chr1H,ibsc,gene,4160980,4164966,3986,.,+,.,HORVU1Hr1G001910,,,,,,,,,
chr1H,ibsc,gene,4165175,4167785,2610,.,-,.,HORVU1Hr1G001920,,,,,,,,,
chr1H,ibsc,gene,4182574,4184504,1930,.,+,.,HORVU1Hr1G001950,,,,,,,,,
chr1H,ibsc,gene,4189224,4190893,1669,.,+,.,HORVU1Hr1G001960,,,,,,,,,
chr1H,ibsc,gene,4192314,4192584,270,.,+,.,HORVU1Hr1G001970,,,,,,,,,
chr1H,ibsc,gene,4210553,4211050,497,.,+,.,HORVU1Hr1G001990,,,,,,,,,
chr1H,ibsc,gene,4226240,4229021,2781,.,+,.,HORVU1Hr1G002000,,,,,,,,,
chr1H,ibsc,gene,4261031,4261801,770,.,-,.,HORVU1Hr1G002040,,,,,,,,,
chr1H,ibsc,gene,4269559,4277621,8062,.,+,.,HORVU1Hr1G002060,,,,,,,,,
chr1H,ibsc,gene,4283363,4286324,2961,.,+,.,HORVU1Hr1G002090,,,,,,,,,
chr1H,ibsc,gene,4291879,4292700,821,.,+,.,HORVU1Hr1G002100,protein,[Source:UniProtKB/TrEMBL%3BAcc:F2D2I3];gene_id=HORVU1Hr1G002100;logic_name=ibsc,,,,,,,
chr1H,ibsc,gene,4293931,4299493,5562,.,+,.,HORVU1Hr1G002110,,,,,,,,,
chr1H,ibsc,gene,4312493,4363970,51477,.,-,.,HORVU1Hr1G002150,,,,,,,,,
chr1H,ibsc,gene,4328190,4329682,1492,.,-,.,HORVU1Hr1G002160,,,,,,,,,
chr1H,ibsc,gene,4332906,4333565,659,.,-,.,HORVU1Hr1G002170,,,,,,,,,
chr1H,ibsc,gene,4398150,4400774,2624,.,-,.,HORVU1Hr1G002210,,,,,,,,,
chr1H,ibsc,gene,4404730,4406482,1752,.,-,.,HORVU1Hr1G002220,,,,,,,,,
chr1H,ibsc,gene,4416074,4418966,2892,.,-,.,HORVU1Hr1G002240,,,,,,,,,
chr1H,ibsc,gene,4519581,4521429,1848,.,+,.,HORVU1Hr1G002260,,,,,,,,,
chr1H,ibsc,gene,4576637,4578008,1371,.,+,.,HORVU1Hr1G002290,,,,,,,,,
chr1H,ibsc,gene,4625638,4630551,4913,.,-,.,HORVU1Hr1G002300,,,,,,,,,
chr1H,ibsc,gene,4652468,4655385,2917,.,+,.,HORVU1Hr1G002310,,,,,,,,,
chr1H,ibsc,gene,4656467,4656679,212,.,+,.,HORVU1Hr1G002320,,,,,,,,,
chr1H,ibsc,gene,4675054,4682504,7450,.,+,.,HORVU1Hr1G002340,,,,,,,,,
chr1H,ibsc,gene,4757724,4771550,13826,.,-,.,HORVU1Hr1G002390,,,,,,,,,
chr1H,ibsc,gene,4758065,4760637,2572,.,+,.,HORVU1Hr1G002400,,,,,,,,,
chr1H,ibsc,gene,4762948,4764312,1364,.,-,.,HORVU1Hr1G002410,,,,,,,,,
chr1H,ibsc,gene,4814105,4922939,108834,.,+,.,HORVU1Hr1G002420,,,,,,,,,
chr1H,ibsc,gene,4837224,4838128,904,.,+,.,HORVU1Hr1G002430,,,,,,,,,
chr1H,ibsc,gene,4945262,4950002,4740,.,+,.,HORVU1Hr1G002440,,,,,,,,,
chr1H,ibsc,gene,4960525,4962190,1665,.,+,.,HORVU1Hr1G002450,,,,,,,,,
chr1H,ibsc,gene,4986961,4989716,2755,.,-,.,HORVU1Hr1G002460,,,,,,,,,
chr1H,ibsc,gene,4990116,5039343,49227,.,+,.,HORVU1Hr1G002470,,,,,,,,,
chr1H,ibsc,gene,4996723,4998003,1280,.,-,.,HORVU1Hr1G002480,,,,,,,,,
chr1H,ibsc,gene,5013433,5015690,2257,.,-,.,HORVU1Hr1G002500,proton,ATPase,proteolipid,subunit,[Source:UniProtKB/TrEMBL%3BAcc:F2DAC0];gene_id=HORVU1Hr1G002500;logic_name=ibsc,,,,
chr1H,ibsc,gene,5016258,5022272,6014,.,-,.,HORVU1Hr1G002510,,,,,,,,,
chr1H,ibsc,gene,5079153,5080087,934,.,+,.,HORVU1Hr1G002540,,,,,,,,,
chr1H,ibsc,gene,5134634,5135209,575,.,+,.,HORVU1Hr1G002560,,,,,,,,,
chr1H,ibsc,gene,5148544,5155047,6503,.,+,.,HORVU1Hr1G002590,,,,,,,,,
chr1H,ibsc,gene,5148544,5188924,40380,.,-,.,HORVU1Hr1G002600,,,,,,,,,
chr1H,ibsc,gene,5157568,5160339,2771,.,-,.,HORVU1Hr1G002620,,,,,,,,,
chr1H,ibsc,gene,5166634,5184381,17747,.,-,.,HORVU1Hr1G002640,,,,,,,,,
chr1H,ibsc,gene,5239630,5240922,1292,.,-,.,HORVU1Hr1G002660,,,,,,,,,
chr1H,ibsc,gene,5258646,5261554,2908,.,+,.,HORVU1Hr1G002670,,,,,,,,,
chr1H,ibsc,gene,5275842,5279720,3878,.,-,.,HORVU1Hr1G002680,,,,,,,,,
chr1H,ibsc,gene,5280081,5281373,1292,.,-,.,HORVU1Hr1G002690,,,,,,,,,
chr1H,ibsc,gene,5293760,5295333,1573,.,-,.,HORVU1Hr1G002710,,,,,,,,,
chr1H,ibsc,gene,5306836,5316455,9619,.,+,.,HORVU1Hr1G002730,,,,,,,,,
chr1H,ibsc,gene,5502121,5508568,6447,.,-,.,HORVU1Hr1G002740,protein,[Source:UniProtKB/TrEMBL%3BAcc:F2D6I2];gene_id=HORVU1Hr1G002740;logic_name=ibsc,,,,,,,
chr1H,ibsc,gene,5571792,5574337,2545,.,-,.,HORVU1Hr1G002750,,,,,,,,,
chr1H,ibsc,gene,5580362,5581957,1595,.,-,.,HORVU1Hr1G002760,,,,,,,,,
chr1H,ibsc,gene,5584231,5586776,2545,.,-,.,HORVU1Hr1G002770,,,,,,,,,
chr1H,ibsc,gene,5594048,5595631,1583,.,+,.,HORVU1Hr1G002790,,,,,,,,,
chr1H,ibsc,gene,5740946,5741602,656,.,-,.,HORVU1Hr1G002810,,,,,,,,,
