HORVU5Hr1G056030	S5_438378198
	gi|1149710994|ref|XP_020181554.1| pathogenesis-related protein 1-like [Aegilops tauschii subsp. tauschii] >gi|334903114|gb|AEH25617.1| pathogenesis-related protein 1-2 [Triticum aestivum] >gi|570551441|gb|AHE81245.1| pathogenesis-related protein 1-2 [Triticum aestivum] >gi|570551483|gb|AHE81266.1| pathogenesis-related protein 1-2 [Triticum aestivum] 702.0  1.92657e-92
	gi|228480395|gb|ACQ41880.1| pathogenisis-related protein 1.1 [Triticum aestivum] >gi|334903112|gb|AEH25616.1| pathogenesis-related protein 1-1 [Triticum aestivum] >gi|570551439|gb|AHE81244.1| pathogenesis-related protein 1-1 [Triticum aestivum] >gi|570551481|gb|AHE81265.1| pathogenesis-related protein 1-1 [Triticum aestivum] 695.0  2.19828e-91
	gi|3702663|emb|CAA07473.1| pathogenisis-related protein 1.1 [Triticum aestivum] >gi|334903116|gb|AEH25618.1| pathogenesis-related protein 1-3 [Triticum aestivum] >gi|570551443|gb|AHE81246.1| pathogenesis-related protein 1-3 [Triticum aestivum] >gi|570551485|gb|AHE81267.1| pathogenesis-related protein 1-3 [Triticum aestivum] 691.0  9.45121e-91
HORVU5Hr1G125110	S5_668232979
	gi|326501382|dbj|BAK02480.1| predicted protein [Hordeum vulgare subsp. vulgare] 2309.0  0.0
	gi|1149797714|ref|XP_020159612.1| uncharacterized protein LOC109744883 [Aegilops tauschii subsp. tauschii] 1945.0  0.0
	gi|1149751901|ref|XP_020198308.1| uncharacterized protein LOC109784122 [Aegilops tauschii subsp. tauschii] 1294.0  3.81771e-173
	gi|326532450|dbj|BAK05154.1| predicted protein [Hordeum vulgare subsp. vulgare] 1227.0  3.54329e-163
	gi|326515506|dbj|BAK06999.1| predicted protein [Hordeum vulgare subsp. vulgare] 1219.0  5.41383e-162
HORVU5Hr1G125130	S5_668232979
	gi|1149796003|ref|XP_020158945.1| RNA polymerase sigma factor sigF, chloroplastic [Aegilops tauschii subsp. tauschii] 2405.0  0.0
	gi|721603949|ref|XP_010229645.1| RNA polymerase sigma factor sigF, chloroplastic isoform X2 [Brachypodium distachyon] 2117.0  0.0
	gi|357113236|ref|XP_003558410.1| RNA polymerase sigma factor sigF, chloroplastic isoform X1 [Brachypodium distachyon] >gi|944076624|gb|KQK11976.1| hypothetical protein BRADI_1g00750v3 [Brachypodium distachyon] 2111.0  0.0
	gi|474150484|gb|EMS56909.1| RNA polymerase sigma factor rpoD [Triticum urartu] 2013.0  0.0
	gi|1205929253|ref|XP_021307579.1| RNA polymerase sigma factor sigF, chloroplastic isoform X3 [Sorghum bicolor] >gi|992278793|gb|KXG37075.1| hypothetical protein SORBI_3001G003200 [Sorghum bicolor] 1849.0  0.0
HORVU6Hr1G019510	S6_53041420
	gi|326533328|dbj|BAJ93636.1| predicted protein [Hordeum vulgare subsp. vulgare] 2840.0  0.0
	gi|1149795975|ref|XP_020158932.1| ruBisCO large subunit-binding protein subunit alpha [Aegilops tauschii subsp. tauschii] 2797.0  0.0
	gi|357112497|ref|XP_003558045.1| ruBisCO large subunit-binding protein subunit alpha [Brachypodium distachyon] >gi|944076622|gb|KQK11974.1| hypothetical protein BRADI_1g00730v3 [Brachypodium distachyon] 2656.0  0.0
	gi|125546535|gb|EAY92674.1| hypothetical protein OsI_14427 [Oryza sativa Indica Group] 2544.0  0.0
	gi|1070949823|gb|OEL25462.1| RuBisCO large subunit-binding protein subunit alpha, chloroplastic [Dichanthelium oligosanthes] 2531.0  0.0
HORVU6Hr1G020750	S6_59789748
	gi|326529439|dbj|BAK04666.1| predicted protein [Hordeum vulgare subsp. vulgare] 1194.0  2.22579e-161
	gi|474069102|gb|EMS54237.1| hypothetical protein TRIUR3_20288 [Triticum urartu] 1126.0  1.03623e-151
	gi|1149839161|ref|XP_020175706.1| IQ domain-containing protein IQM3-like [Aegilops tauschii subsp. tauschii] 1098.0  8.57548e-147
	gi|1149759822|ref|XP_020201298.1| IQ domain-containing protein IQM3-like [Aegilops tauschii subsp. tauschii] 1093.0  5.07992e-146
	gi|326493872|dbj|BAJ85398.1| predicted protein [Hordeum vulgare subsp. vulgare] 1090.0  1.5644e-145
HORVU6Hr1G023370	S6_77237102
	gi|326524732|dbj|BAK04302.1| predicted protein [Hordeum vulgare subsp. vulgare] 840.0  7.52059e-110
	gi|357160234|ref|XP_003578699.1| protein SRC2 [Brachypodium distachyon] >gi|944056002|gb|KQJ91640.1| hypothetical protein BRADI_4g38860v3 [Brachypodium distachyon] 653.0  3.43008e-81
	gi|1002291028|ref|XP_015649852.1| PREDICTED: pro-resilin [Oryza sativa Japonica Group] >gi|42408434|dbj|BAD09616.1| putative C2 domain-containing protein [Oryza sativa Japonica Group] >gi|113624490|dbj|BAF24435.1| Os08g0562600 [Oryza sativa Japonica Group] >gi|125604347|gb|EAZ43672.1| hypothetical protein OsJ_28298 [Oryza sativa Japonica Group] >gi|215692423|dbj|BAG87843.1| unnamed protein product [Oryza sativa Japonica Group] >gi|215712219|dbj|BAG94346.1| unnamed protein product [Oryza sativa Japonica Group] >gi|937931803|dbj|BAT06719.1| Os08g0562600 [Oryza sativa Japonica Group] 648.0  1.79064e-80
	gi|1149761751|ref|XP_020146387.1| protein SRC2 homolog [Aegilops tauschii subsp. tauschii] 645.0  5.04199e-80
	gi|226505826|ref|NP_001145939.1| uncharacterized protein LOC100279462 [Zea mays] >gi|219885023|gb|ACL52886.1| unknown [Zea mays] >gi|1142855201|gb|ONM53685.1| Calcium-dependent lipid-binding (CaLB domain) family protein [Zea mays] 646.0  8.32228e-80
HORVU6Hr1G056910	S6_367229490
	gi|326507072|dbj|BAJ95613.1| predicted protein [Hordeum vulgare subsp. vulgare] 2264.0  0.0
	gi|1149827022|ref|XP_020170961.1| tyrosine-sulfated glycopeptide receptor 1-like [Aegilops tauschii subsp. tauschii] 2155.0  0.0
	gi|1149804509|ref|XP_020162207.1| tyrosine-sulfated glycopeptide receptor 1-like [Aegilops tauschii subsp. tauschii] 1911.0  0.0
	gi|944057794|gb|KQJ93384.1| hypothetical protein BRADI_3g04217v3 [Brachypodium distachyon] 1878.0  0.0
	gi|960477898|ref|XP_014756364.1| tyrosine-sulfated glycopeptide receptor 1 isoform X1 [Brachypodium distachyon] 1869.0  0.0
HORVU6Hr1G058210	S6_380651458;S6_380651459
	gi|326499163|dbj|BAK06072.1| predicted protein [Hordeum vulgare subsp. vulgare] 803.0  3.69879e-107
	gi|1149837104|ref|XP_020174863.1| adenine phosphoribosyltransferase 2-like isoform X3 [Aegilops tauschii subsp. tauschii] 793.0  1.45527e-105
	gi|1149837102|ref|XP_020174862.1| adenine phosphoribosyltransferase 2-like isoform X2 [Aegilops tauschii subsp. tauschii] 778.0  3.79942e-103
	gi|1149837100|ref|XP_020174861.1| adenine phosphoribosyltransferase 2-like isoform X1 [Aegilops tauschii subsp. tauschii] 777.0  5.4033e-103
	gi|47497650|dbj|BAD19718.1| putative adenine phosphoribosyltransferase form 2 [Oryza sativa Japonica Group] >gi|113536952|dbj|BAF09335.1| Os02g0613900 [Oryza sativa Japonica Group] >gi|215697945|dbj|BAG92139.1| unnamed protein product [Oryza sativa Japonica Group] >gi|937904688|dbj|BAS79742.1| Os02g0613900 [Oryza sativa Japonica Group] 770.0  3.66486e-102
