HORVU2Hr1G060120	S2_400126819
	gi|1149700535|ref|XP_020158433.1| two-component response regulator ORR42-like [Aegilops tauschii subsp. tauschii] 544.0  2.29643e-69
HORVU3Hr1G064240	S3_490245359;S3_490245513
	gi|326492532|dbj|BAK02049.1| predicted protein [Hordeum vulgare subsp. vulgare] 305.0  5.30311e-35
	gi|359950766|gb|AEV91173.1| MYB-related protein [Aegilops speltoides] >gi|473961379|gb|EMS51126.1| Transcription factor TRY [Triticum urartu] >gi|669029275|emb|CDM83430.1| unnamed protein product [Triticum aestivum] 296.0  1.39895e-33
	gi|1149812010|ref|XP_020165156.1| MYB-like transcription factor TCL2 [Aegilops tauschii subsp. tauschii] >gi|1149812012|ref|XP_020165157.1| MYB-like transcription factor TCL2 [Aegilops tauschii subsp. tauschii] >gi|1149831309|ref|XP_020172618.1| MYB-like transcription factor TCL2 [Aegilops tauschii subsp. tauschii] >gi|1149831312|ref|XP_020172619.1| MYB-like transcription factor TCL2 [Aegilops tauschii subsp. tauschii] 295.0  1.90257e-33
	gi|1377213724|gb|AVY91699.1| MYB transcription factor [Saccharum hybrid cultivar SP80-3280] >gi|1377213733|gb|AVY91707.1| MYB transcription factor [Saccharum hybrid cultivar SP80-3280] >gi|1377213744|gb|AVY91716.1| MYB transcription factor [Saccharum hybrid cultivar SP80-3280] 272.0  5.28297e-30
	gi|1070929550|gb|OEL19992.1| hypothetical protein BAE44_0018992 [Dichanthelium oligosanthes] 270.0  2.60134e-29
HORVU3Hr1G066890	S3_507871524;S3_507931792
	gi|669029624|emb|CDM83893.1| unnamed protein product [Triticum aestivum] 170.0  2.17284e-13
	gi|474397811|gb|EMS65829.1| Reticulon-like protein B9 [Triticum urartu] 163.0  2.38957e-12
	gi|1371066813|ref|XP_024315397.1| reticulon-like protein B1 isoform X2 [Brachypodium distachyon] 141.0  3.12631e-09
	gi|1371066811|ref|XP_003569595.2| reticulon-like protein B9 isoform X1 [Brachypodium distachyon] 133.0  5.24158e-08
	gi|944073784|gb|KQK09268.1| hypothetical protein BRADI_2g47076v3 [Brachypodium distachyon] 132.0  5.69849e-08
HORVU4Hr1G004820	S4_10160421;S4_10523364;S4_10531421
	gi|326491711|dbj|BAJ94333.1| predicted protein [Hordeum vulgare subsp. vulgare] 1493.0  0.0
	gi|1149718310|ref|XP_020185146.1| uncharacterized protein LOC109770846 [Aegilops tauschii subsp. tauschii] >gi|1149718312|ref|XP_020185148.1| uncharacterized protein LOC109770846 [Aegilops tauschii subsp. tauschii] 1445.0  0.0
	gi|669029537|emb|CDM83776.1| unnamed protein product [Triticum aestivum] >gi|669029565|emb|CDM83810.1| unnamed protein product [Triticum aestivum] 1426.0  0.0
	gi|357136132|ref|XP_003569660.1| uncharacterized protein LOC100842342 [Brachypodium distachyon] >gi|944073942|gb|KQK09426.1| hypothetical protein BRADI_2g47910v3 [Brachypodium distachyon] 1362.0  0.0
	gi|1002225121|ref|XP_015617688.1| PREDICTED: 5'-nucleotidase SurE [Oryza sativa Japonica Group] >gi|113533564|dbj|BAF05947.1| Os01g0709400 [Oryza sativa Japonica Group] >gi|215768041|dbj|BAH00270.1| unnamed protein product [Oryza sativa Japonica Group] >gi|937897986|dbj|BAS73966.1| Os01g0709400 [Oryza sativa Japonica Group] 1308.0  1.02758e-177
HORVU4Hr1G067510	S4_560204410
	gi|1149718504|ref|XP_020185246.1| plasma membrane ATPase 1-like isoform X2 [Aegilops tauschii subsp. tauschii] 3998.0  0.0
	gi|357118745|ref|XP_003561110.1| plasma membrane ATPase 1 [Brachypodium distachyon] >gi|944078379|gb|KQK13731.1| hypothetical protein BRADI_1g12117v3 [Brachypodium distachyon] 3966.0  0.0
	gi|1149718502|ref|XP_020185245.1| plasma membrane ATPase 1-like isoform X1 [Aegilops tauschii subsp. tauschii] 3956.0  0.0
	gi|473728588|gb|EMS45119.1| Plasma membrane ATPase 1 [Triticum urartu] 3951.0  0.0
	gi|1142674642|gb|ONM32685.1| ATPase 4 plasma membrane-type [Zea mays] 3897.0  0.0
HORVU4Hr1G078590	S4_607863587
	gi|156104812|dbj|BAF75823.1| aluminum activated citrate transporter [Hordeum vulgare subsp. vulgare] >gi|1040977062|gb|ANN88346.1| aluminium-activated citrate transporter [Hordeum vulgare subsp. vulgare] >gi|1040977064|gb|ANN88347.1| aluminium-activated citrate transporter [Hordeum vulgare subsp. vulgare] 1643.0  0.0
	gi|156104810|dbj|BAF75822.1| aluminum activated citrate transporter [Hordeum vulgare] >gi|1040977058|gb|ANN88344.1| aluminium-activated citrate transporter [Hordeum vulgare subsp. vulgare] >gi|1040977060|gb|ANN88345.1| aluminium-activated citrate transporter [Hordeum vulgare subsp. vulgare] 1640.0  0.0
	gi|1003704065|gb|AMO65653.1| MATE [Hordeum vulgare] >gi|1003704067|gb|AMO65654.1| MATE [Hordeum vulgare] 1632.0  0.0
	gi|1149723776|ref|XP_020187796.1| protein DETOXIFICATION 42-like isoform X2 [Aegilops tauschii subsp. tauschii] >gi|1149723778|ref|XP_020187797.1| protein DETOXIFICATION 42-like isoform X2 [Aegilops tauschii subsp. tauschii] >gi|428697091|gb|AFZ61904.1| MATE1D [Triticum aestivum] 1597.0  0.0
	gi|559147006|gb|AHA98250.1| MATE1 [Triticum aestivum]              1594.0  0.0
HORVU5Hr1G055970	S5_438378198
	gi|326511435|dbj|BAJ87731.1| predicted protein [Hordeum vulgare subsp. vulgare] 596.0  1.98889e-75
	gi|1149781258|ref|XP_020153513.1| ubiquitin carboxyl-terminal hydrolase 3-like, partial [Aegilops tauschii subsp. tauschii] 597.0  4.55548e-75
	gi|1149825960|ref|XP_020184081.1| ubiquitin carboxyl-terminal hydrolase 3-like [Aegilops tauschii subsp. tauschii] 599.0  1.00912e-74
	gi|474227390|gb|EMS59506.1| Ubiquitin carboxyl-terminal hydrolase 3 [Triticum urartu] 599.0  1.05396e-74
	gi|326527689|dbj|BAK08119.1| predicted protein [Hordeum vulgare subsp. vulgare] 599.0  1.20081e-74
HORVU5Hr1G056030	S5_438378198
	gi|326517741|dbj|BAK03789.1| predicted protein [Hordeum vulgare subsp. vulgare] 993.0  7.11905e-132
	gi|1149784462|ref|XP_020154579.1| E3 ubiquitin-protein ligase At1g12760-like [Aegilops tauschii subsp. tauschii] >gi|1149784465|ref|XP_020154580.1| E3 ubiquitin-protein ligase At1g12760-like [Aegilops tauschii subsp. tauschii] 986.0  8.02529e-132
	gi|1149710990|ref|XP_020181552.1| E3 ubiquitin-protein ligase At1g63170-like [Aegilops tauschii subsp. tauschii] >gi|1149710992|ref|XP_020181553.1| E3 ubiquitin-protein ligase At1g63170-like [Aegilops tauschii subsp. tauschii] 984.0  2.14978e-130
	gi|721679355|ref|XP_010238064.1| E3 ubiquitin-protein ligase At1g63170 isoform X1 [Brachypodium distachyon] >gi|944054204|gb|KQJ89842.1| hypothetical protein BRADI_4g28050v3 [Brachypodium distachyon] 825.0  2.93577e-106
	gi|1238289284|gb|PAN11917.1| hypothetical protein PAHAL_D01088 [Panicum hallii] 820.0  1.67673e-105
HORVU5Hr1G056040	S5_438378198
	gi|326517755|dbj|BAK03796.1| predicted protein [Hordeum vulgare subsp. vulgare] 472.0  2.4807e-57
	gi|1149797718|ref|XP_020159614.1| oleosin 16 kDa-like [Aegilops tauschii subsp. tauschii] 454.0  1.04646e-54
	gi|721679365|ref|XP_010238066.1| oleosin 16 kDa [Brachypodium distachyon] >gi|1334355074|gb|PNT64391.1| hypothetical protein BRADI_4g28075v3 [Brachypodium distachyon] 280.0  2.5468e-28
	gi|1147562766|ref|XP_020084976.1| oleosin 16 kDa, partial [Ananas comosus] 250.0  2.56106e-24
	gi|1035948960|gb|OAY72596.1| Oleosin 16 kDa [Ananas comosus]       251.0  3.23034e-24
HORVU5Hr1G056090	S5_438378198
	gi|401831|emb|CAA52893.1| PR-1a pathogenesis related protein (Hv-1a) [Hordeum vulgare subsp. vulgare] >gi|326492512|dbj|BAK02039.1| predicted protein [Hordeum vulgare subsp. vulgare] >gi|326514640|dbj|BAJ96307.1| predicted protein [Hordeum vulgare subsp. vulgare] >gi|326530810|dbj|BAK01203.1| predicted protein [Hordeum vulgare subsp. vulgare] 721.0  2.21821e-95
	gi|228480393|gb|ACQ41879.1| pathogenisis-related protein 1.1 [Triticum aestivum] 703.0  1.10124e-92
	gi|1149710994|ref|XP_020181554.1| pathogenesis-related protein 1-like [Aegilops tauschii subsp. tauschii] >gi|334903114|gb|AEH25617.1| pathogenesis-related protein 1-2 [Triticum aestivum] >gi|570551441|gb|AHE81245.1| pathogenesis-related protein 1-2 [Triticum aestivum] >gi|570551483|gb|AHE81266.1| pathogenesis-related protein 1-2 [Triticum aestivum] 702.0  1.92657e-92
	gi|228480395|gb|ACQ41880.1| pathogenisis-related protein 1.1 [Triticum aestivum] >gi|334903112|gb|AEH25616.1| pathogenesis-related protein 1-1 [Triticum aestivum] >gi|570551439|gb|AHE81244.1| pathogenesis-related protein 1-1 [Triticum aestivum] >gi|570551481|gb|AHE81265.1| pathogenesis-related protein 1-1 [Triticum aestivum] 695.0  2.19828e-91
	gi|3702663|emb|CAA07473.1| pathogenisis-related protein 1.1 [Triticum aestivum] >gi|334903116|gb|AEH25618.1| pathogenesis-related protein 1-3 [Triticum aestivum] >gi|570551443|gb|AHE81246.1| pathogenesis-related protein 1-3 [Triticum aestivum] >gi|570551485|gb|AHE81267.1| pathogenesis-related protein 1-3 [Triticum aestivum] 691.0  9.45121e-91
HORVU5Hr1G125110	S5_668232979
	gi|326501382|dbj|BAK02480.1| predicted protein [Hordeum vulgare subsp. vulgare] 2309.0  0.0
	gi|1149797714|ref|XP_020159612.1| uncharacterized protein LOC109744883 [Aegilops tauschii subsp. tauschii] 1945.0  0.0
	gi|1149751901|ref|XP_020198308.1| uncharacterized protein LOC109784122 [Aegilops tauschii subsp. tauschii] 1294.0  3.81771e-173
	gi|326532450|dbj|BAK05154.1| predicted protein [Hordeum vulgare subsp. vulgare] 1227.0  3.54329e-163
	gi|326515506|dbj|BAK06999.1| predicted protein [Hordeum vulgare subsp. vulgare] 1219.0  5.41383e-162
HORVU5Hr1G125130	S5_668232979
	gi|1149796003|ref|XP_020158945.1| RNA polymerase sigma factor sigF, chloroplastic [Aegilops tauschii subsp. tauschii] 2405.0  0.0
	gi|721603949|ref|XP_010229645.1| RNA polymerase sigma factor sigF, chloroplastic isoform X2 [Brachypodium distachyon] 2117.0  0.0
	gi|357113236|ref|XP_003558410.1| RNA polymerase sigma factor sigF, chloroplastic isoform X1 [Brachypodium distachyon] >gi|944076624|gb|KQK11976.1| hypothetical protein BRADI_1g00750v3 [Brachypodium distachyon] 2111.0  0.0
	gi|474150484|gb|EMS56909.1| RNA polymerase sigma factor rpoD [Triticum urartu] 2013.0  0.0
	gi|1205929253|ref|XP_021307579.1| RNA polymerase sigma factor sigF, chloroplastic isoform X3 [Sorghum bicolor] >gi|992278793|gb|KXG37075.1| hypothetical protein SORBI_3001G003200 [Sorghum bicolor] 1849.0  0.0
HORVU6Hr1G019510	S6_53041420
	gi|326533328|dbj|BAJ93636.1| predicted protein [Hordeum vulgare subsp. vulgare] 2840.0  0.0
	gi|1149795975|ref|XP_020158932.1| ruBisCO large subunit-binding protein subunit alpha [Aegilops tauschii subsp. tauschii] 2797.0  0.0
	gi|357112497|ref|XP_003558045.1| ruBisCO large subunit-binding protein subunit alpha [Brachypodium distachyon] >gi|944076622|gb|KQK11974.1| hypothetical protein BRADI_1g00730v3 [Brachypodium distachyon] 2656.0  0.0
	gi|125546535|gb|EAY92674.1| hypothetical protein OsI_14427 [Oryza sativa Indica Group] 2544.0  0.0
	gi|1070949823|gb|OEL25462.1| RuBisCO large subunit-binding protein subunit alpha, chloroplastic [Dichanthelium oligosanthes] 2531.0  0.0
HORVU6Hr1G020750	S6_59789748
	gi|326529439|dbj|BAK04666.1| predicted protein [Hordeum vulgare subsp. vulgare] 1194.0  2.22579e-161
	gi|474069102|gb|EMS54237.1| hypothetical protein TRIUR3_20288 [Triticum urartu] 1126.0  1.03623e-151
	gi|1149839161|ref|XP_020175706.1| IQ domain-containing protein IQM3-like [Aegilops tauschii subsp. tauschii] 1098.0  8.57548e-147
	gi|1149759822|ref|XP_020201298.1| IQ domain-containing protein IQM3-like [Aegilops tauschii subsp. tauschii] 1093.0  5.07992e-146
	gi|326493872|dbj|BAJ85398.1| predicted protein [Hordeum vulgare subsp. vulgare] 1090.0  1.5644e-145
HORVU6Hr1G023370	S6_77237102
	gi|326524732|dbj|BAK04302.1| predicted protein [Hordeum vulgare subsp. vulgare] 840.0  7.52059e-110
	gi|357160234|ref|XP_003578699.1| protein SRC2 [Brachypodium distachyon] >gi|944056002|gb|KQJ91640.1| hypothetical protein BRADI_4g38860v3 [Brachypodium distachyon] 653.0  3.43008e-81
	gi|1002291028|ref|XP_015649852.1| PREDICTED: pro-resilin [Oryza sativa Japonica Group] >gi|42408434|dbj|BAD09616.1| putative C2 domain-containing protein [Oryza sativa Japonica Group] >gi|113624490|dbj|BAF24435.1| Os08g0562600 [Oryza sativa Japonica Group] >gi|125604347|gb|EAZ43672.1| hypothetical protein OsJ_28298 [Oryza sativa Japonica Group] >gi|215692423|dbj|BAG87843.1| unnamed protein product [Oryza sativa Japonica Group] >gi|215712219|dbj|BAG94346.1| unnamed protein product [Oryza sativa Japonica Group] >gi|937931803|dbj|BAT06719.1| Os08g0562600 [Oryza sativa Japonica Group] 648.0  1.79064e-80
	gi|1149761751|ref|XP_020146387.1| protein SRC2 homolog [Aegilops tauschii subsp. tauschii] 645.0  5.04199e-80
	gi|226505826|ref|NP_001145939.1| uncharacterized protein LOC100279462 [Zea mays] >gi|219885023|gb|ACL52886.1| unknown [Zea mays] >gi|1142855201|gb|ONM53685.1| Calcium-dependent lipid-binding (CaLB domain) family protein [Zea mays] 646.0  8.32228e-80
HORVU6Hr1G056910	S6_367229490
	gi|326507072|dbj|BAJ95613.1| predicted protein [Hordeum vulgare subsp. vulgare] 2264.0  0.0
	gi|1149827022|ref|XP_020170961.1| tyrosine-sulfated glycopeptide receptor 1-like [Aegilops tauschii subsp. tauschii] 2155.0  0.0
	gi|1149804509|ref|XP_020162207.1| tyrosine-sulfated glycopeptide receptor 1-like [Aegilops tauschii subsp. tauschii] 1911.0  0.0
	gi|944057794|gb|KQJ93384.1| hypothetical protein BRADI_3g04217v3 [Brachypodium distachyon] 1878.0  0.0
	gi|960477898|ref|XP_014756364.1| tyrosine-sulfated glycopeptide receptor 1 isoform X1 [Brachypodium distachyon] 1869.0  0.0
HORVU6Hr1G058210	S6_380651458;S6_380651459
	gi|326499163|dbj|BAK06072.1| predicted protein [Hordeum vulgare subsp. vulgare] 803.0  3.69879e-107
	gi|1149837104|ref|XP_020174863.1| adenine phosphoribosyltransferase 2-like isoform X3 [Aegilops tauschii subsp. tauschii] 793.0  1.45527e-105
	gi|1149837102|ref|XP_020174862.1| adenine phosphoribosyltransferase 2-like isoform X2 [Aegilops tauschii subsp. tauschii] 778.0  3.79942e-103
	gi|1149837100|ref|XP_020174861.1| adenine phosphoribosyltransferase 2-like isoform X1 [Aegilops tauschii subsp. tauschii] 777.0  5.4033e-103
	gi|47497650|dbj|BAD19718.1| putative adenine phosphoribosyltransferase form 2 [Oryza sativa Japonica Group] >gi|113536952|dbj|BAF09335.1| Os02g0613900 [Oryza sativa Japonica Group] >gi|215697945|dbj|BAG92139.1| unnamed protein product [Oryza sativa Japonica Group] >gi|937904688|dbj|BAS79742.1| Os02g0613900 [Oryza sativa Japonica Group] 770.0  3.66486e-102
HORVU6Hr1G058230	S6_380651458;S6_380651459
	gi|1149797354|ref|XP_020159462.1| succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial [Aegilops tauschii subsp. tauschii] >gi|474416303|gb|EMS67204.1| Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial [Triticum urartu] 1511.0  0.0
	gi|326527793|dbj|BAJ88969.1| predicted protein [Hordeum vulgare subsp. vulgare] 1509.0  0.0
	gi|1371080579|ref|XP_024317866.1| succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial isoform X1 [Brachypodium distachyon] 1473.0  0.0
	gi|1371080581|ref|XP_024317867.1| succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial isoform X2 [Brachypodium distachyon] 1472.0  0.0
	gi|357150216|ref|XP_003575382.1| succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial isoform X3 [Brachypodium distachyon] >gi|944064800|gb|KQK00391.1| hypothetical protein BRADI_3g49070v3 [Brachypodium distachyon] 1472.0  0.0
HORVU6Hr1G063230	S6_425641774;S6_425641788
	gi|326498031|dbj|BAJ94878.1| predicted protein [Hordeum vulgare subsp. vulgare] 834.0  1.7633e-108
	gi|1149751577|ref|XP_020198197.1| casein kinase 1 [Aegilops tauschii subsp. tauschii] 819.0  4.07083e-106
	gi|357150222|ref|XP_003575384.1| casein kinase 1 isoform X1 [Brachypodium distachyon] >gi|944064803|gb|KQK00394.1| hypothetical protein BRADI_3g49100v3 [Brachypodium distachyon] 782.0  1.28216e-100
	gi|37693196|emb|CAD32377.1| putative casein kinase I, partial [Oryza sativa Japonica Group] 720.0  3.19444e-91
	gi|1002244488|ref|XP_015626436.1| PREDICTED: casein kinase I [Oryza sativa Japonica Group] >gi|75324104|sp|Q6K9N1.1|CKI1_ORYSJ RecName: Full=Casein kinase 1; Short=OsCKI1; AltName: Full=Protein HYBRID BREAKDOWN 2; AltName: Full=Protein LOW TEMPERATURE GROWTH 1 >gi|47847774|dbj|BAD21551.1| putative protein kinase (ADK1) [Oryza sativa Japonica Group] >gi|113536996|dbj|BAF09379.1| Os02g0622100 [Oryza sativa Japonica Group] >gi|215715287|dbj|BAG95038.1| unnamed protein product [Oryza sativa Japonica Group] >gi|218191194|gb|EEC73621.1| hypothetical protein OsI_08119 [Oryza sativa Indica Group] >gi|222623265|gb|EEE57397.1| hypothetical protein OsJ_07571 [Oryza sativa Japonica Group] >gi|937904777|dbj|BAS79831.1| Os02g0622100 [Oryza sativa Japonica Group] 719.0  3.44653e-91
HORVU6Hr1G063580	S6_428959201;S6_428959202
	gi|1149720748|ref|XP_020186302.1| cytosolic sulfotransferase 5-like [Aegilops tauschii subsp. tauschii] 758.0  6.6688e-98
	gi|77552971|gb|ABA95767.1| Sulfotransferase domain containing protein [Oryza sativa Japonica Group] 660.0  2.95392e-85
	gi|721671636|ref|XP_010236840.1| cytosolic sulfotransferase 13 [Brachypodium distachyon] >gi|944065041|gb|KQK00632.1| hypothetical protein BRADI_3g50760v3 [Brachypodium distachyon] 651.0  6.57875e-82
	gi|1002311051|ref|XP_015618881.1| PREDICTED: cytosolic sulfotransferase 5 [Oryza sativa Japonica Group] >gi|77552973|gb|ABA95769.1| Sulfotransferase domain containing protein [Oryza sativa Japonica Group] >gi|125578442|gb|EAZ19588.1| hypothetical protein OsJ_35165 [Oryza sativa Japonica Group] >gi|215769467|dbj|BAH01696.1| unnamed protein product [Oryza sativa Japonica Group] >gi|255670030|dbj|BAH95509.1| Os12g0137700 [Oryza sativa Japonica Group] >gi|937940899|dbj|BAT15811.1| Os12g0137700 [Oryza sativa Japonica Group] 630.0  1.09528e-78
	gi|125533341|gb|EAY79889.1| hypothetical protein OsI_35051 [Oryza sativa Indica Group] 613.0  4.58162e-76
